累计小时	全服积分下限	全服积分上限
1	270000	9680000
2	540000	12190000
3	810000	13265000
4	1080000	14340000
5	1345000	15415000
6	1615000	16490000
7	1885000	17565000
8	2155000	21150000
9	2960000	24735000
10	3765000	28320000
11	4570000	30825000
12	5380000	33335000
13	7260000	33695000
14	9140000	34055000
15	9950000	34410000
16	10755000	34770000
17	11560000	35130000
18	12370000	35485000
19	13175000	35845000
20	15865000	36205000
21	18550000	37280000
22	21240000	38355000
23	23120000	39430000
24	25000000	40505000
25	25270000	43015000
26	25540000	45520000
27	25810000	46595000
28	26080000	47675000
29	26345000	48750000
30	26615000	49825000
31	26885000	50900000
32	27155000	54485000
33	27960000	58065000
34	28765000	61650000
35	29570000	64160000
36	30380000	66670000
37	32260000	67030000
38	34140000	67385000
39	34950000	67745000
40	35755000	68105000
41	36560000	68460000
42	37370000	68820000
43	38175000	69180000
44	40865000	69535000
45	43550000	70610000
46	46240000	71685000
47	48120000	72760000
48	50000000	73840000
49	50270000	76345000
50	50540000	78855000
51	50810000	79930000
52	51080000	81005000
53	51345000	82080000
54	51615000	83155000
55	51885000	84230000
56	52155000	87815000
57	52960000	91400000
58	53765000	94985000
59	54570000	97495000
60	55380000	100000000
61	57260000	100000000
62	59140000	100000000
63	59950000	100000000
64	60755000	100000000
65	61560000	100000000
66	62370000	100000000
67	63175000	100000000
68	65865000	100000000
69	68550000	100000000
70	71240000	100000000
71	73120000	100000000
72	75000000	100000000
73	75270000	100000000
74	75540000	100000000
75	75810000	100000000
76	76080000	100000000
77	76345000	100000000
78	76615000	100000000
79	76885000	100000000
80	77155000	100000000
81	77960000	100000000
82	78765000	100000000
83	79570000	100000000
84	80380000	100000000
85	82260000	100000000
86	84140000	100000000
87	84950000	100000000
88	85755000	100000000
89	86560000	100000000
90	87370000	100000000
91	88175000	100000000
92	90865000	100000000
93	93550000	100000000
94	96240000	100000000
95	98120000	100000000
96	100000000	100000000
97	100000000	100000000
98	100000000	100000000
99	100000000	100000000
100	100000000	100000000
101	100000000	100000000
102	100000000	100000000
103	100000000	100000000
104	100000000	100000000
105	100000000	100000000
106	100000000	100000000
107	100000000	100000000
108	100000000	100000000
109	100000000	100000000
110	100000000	100000000
111	100000000	100000000
112	100000000	100000000
113	100000000	100000000
114	100000000	100000000
115	100000000	100000000
116	100000000	100000000
117	100000000	100000000
118	100000000	100000000
119	100000000	100000000
120	100000000	100000000
121	100000000	100000000
122	100000000	100000000
123	100000000	100000000
124	100000000	100000000
125	100000000	100000000
126	100000000	100000000
127	100000000	100000000
128	100000000	100000000
129	100000000	100000000
130	100000000	100000000
131	100000000	100000000
132	100000000	100000000
133	100000000	100000000
134	100000000	100000000
135	100000000	100000000
136	100000000	100000000
137	100000000	100000000
138	100000000	100000000
139	100000000	100000000
140	100000000	100000000
141	100000000	100000000
142	100000000	100000000
143	100000000	100000000
144	100000000	100000000
145	100000000	100000000
146	100000000	100000000
147	100000000	100000000
148	100000000	100000000
149	100000000	100000000
150	100000000	100000000
151	100000000	100000000
152	100000000	100000000
153	100000000	100000000
154	100000000	100000000
155	100000000	100000000
156	100000000	100000000
157	100000000	100000000
158	100000000	100000000
159	100000000	100000000
160	100000000	100000000
161	100000000	100000000
162	100000000	100000000
163	100000000	100000000
164	100000000	100000000
165	100000000	100000000
166	100000000	100000000
167	100000000	100000000
168	100000000	100000000
169	100000000	100000000
170	100000000	100000000
171	100000000	100000000
172	100000000	100000000
173	100000000	100000000
174	100000000	100000000
175	100000000	100000000
176	100000000	100000000
177	100000000	100000000
178	100000000	100000000
179	100000000	100000000
180	100000000	100000000
181	100000000	100000000
182	100000000	100000000
183	100000000	100000000
184	100000000	100000000
185	100000000	100000000
186	100000000	100000000
187	100000000	100000000
188	100000000	100000000
189	100000000	100000000
190	100000000	100000000
191	100000000	100000000
192	100000000	100000000
193	100000000	100000000
194	100000000	100000000
195	100000000	100000000
196	100000000	100000000
197	100000000	100000000
198	100000000	100000000
199	100000000	100000000
200	100000000	100000000
201	100000000	100000000
202	100000000	100000000
203	100000000	100000000
204	100000000	100000000
205	100000000	100000000
206	100000000	100000000
207	100000000	100000000
208	100000000	100000000
209	100000000	100000000
210	100000000	100000000
211	100000000	100000000
212	100000000	100000000
213	100000000	100000000
214	100000000	100000000
215	100000000	100000000
216	100000000	100000000
217	100000000	100000000
218	100000000	100000000
219	100000000	100000000
220	100000000	100000000
221	100000000	100000000
222	100000000	100000000
223	100000000	100000000
224	100000000	100000000
225	100000000	100000000
226	100000000	100000000
227	100000000	100000000
228	100000000	100000000
229	100000000	100000000
230	100000000	100000000
231	100000000	100000000
232	100000000	100000000
233	100000000	100000000
234	100000000	100000000
235	100000000	100000000
236	100000000	100000000
237	100000000	100000000
238	100000000	100000000
239	100000000	100000000
240	100000000	100000000
